--- Train Summary --- 

Epoch: 0, Loss:  2.3089282512664795
Epoch: 1, Loss:  0.6146529912948608
Epoch: 2, Loss:  0.4558413624763489
Epoch: 3, Loss:  0.459171861410141
Epoch: 4, Loss:  0.40355509519577026
Epoch: 5, Loss:  0.3978578746318817
Epoch: 6, Loss:  0.3469525873661041
Epoch: 7, Loss:  0.257049024105072
Epoch: 8, Loss:  0.25975140929222107
Epoch: 9, Loss:  0.23357094824314117
Epoch: 10, Loss:  0.24022339284420013
Epoch: 11, Loss:  0.17800909280776978
Epoch: 12, Loss:  0.14860177040100098
Epoch: 13, Loss:  0.14003288745880127
Epoch: 14, Loss:  0.1493409425020218
Epoch: 15, Loss:  0.11996106058359146
Epoch: 16, Loss:  0.14594149589538574
Epoch: 17, Loss:  0.10809536278247833
Epoch: 18, Loss:  0.08625396341085434
Epoch: 19, Loss:  0.0843813419342041
